Job_Role,Maths,CAD,Electrical,Embedded,Python,VLSI,Process_Control,Technicality,Tool_Usage,People_Interaction,Current_Package,Future_Package,Research_Scope,CGPA_Importance
VLSI Design Engineer,4,4,3,1,3,5,1,5,5,2,4,5,4,4
Embedded Systems Engineer,4,3,4,5,4,2,2,5,4,3,3,4,3,3
Process Control Engineer,3,2,5,2,2,1,5,4,4,3,3,3,4,3
Electronics Design Engineer (EDA),4,5,4,3,3,3,2,5,5,3,3,4,3,4
Automation Engineer,3,3,5,2,3,1,5,4,4,3,3,3,3,3
Hardware Design Engineer,4,5,5,3,3,3,2,5,5,2,4,4,3,4
FPGA Engineer,4,4,4,4,3,5,2,5,5,2,4,5,4,4
Control Systems Engineer,4,2,5,2,3,1,5,4,3,3,3,4,4,3
Research Scientist (Electronics/AI),5,3,3,3,5,4,3,5,3,2,4,5,5,5
IoT Engineer,4,3,4,5,5,2,3,5,4,4,3,4,3,3
